pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
attivo-actif,0.7931034482758621,IT,FR,9,20,3,"['bn:00096383a', 'bn:00096384a', 'bn:00096386a']"
bad-cattivo,0.9622641509433962,EN,IT,47,6,1,['bn:00097966a']
big-grande,0.9649122807017544,EN,IT,40,17,1,['bn:00098342a']
bound-encuadernado,0.9354838709677419,EN,ES,29,2,1,['bn:00098754a']
drag-traîner,0.9375,EN,FR,30,2,1,['bn:00087212v']
drift-dérive,0.9649122807017544,EN,FR,44,13,1,['bn:00028732n']
échange-intercambiar,0.9310344827586207,FR,ES,20,9,1,['bn:00008735n']
estendere-étendre,0.8181818181818182,IT,FR,3,8,1,['bn:00084121v']
fair-feria,0.7948717948717948,EN,ES,28,11,4,"['bn:00032733n', 'bn:00009256n', 'bn:00032732n', 'bn:00016141n']"
feel-sentire,0.88,EN,IT,37,13,3,"['bn:00087864v', 'bn:00088096v', 'bn:00088098v']"
fix-fissare,0.8974358974358975,EN,IT,28,11,2,"['bn:00088246v', 'bn:00086468v']"
home-domicile,0.9752066115702479,EN,FR,236,6,3,"['bn:00044994n', 'bn:00000355n', 'bn:00000356n']"
job-lavoro,0.9322033898305084,EN,IT,41,18,2,"['bn:00030616n', 'bn:00014138n']"
leave-congedo,0.8918918918918919,EN,IT,32,5,2,"['bn:00050462n', 'bn:00033672n']"
out-fuori,0.9615384615384616,EN,IT,41,11,1,['bn:00116479r']
puff-puff,0.84,EN,ES,21,4,2,"['bn:00043111n', 'bn:02443316n']"
range-gamme,0.8723404255319149,EN,FR,39,8,3,"['bn:00003268n', 'bn:01766816n', 'bn:00045972n']"
register-registro,0.7333333333333333,EN,IT,32,13,6,"['bn:27270046n', 'bn:00066890n', 'bn:00066891n', 'bn:00059469n', 'bn:00645753n', 'bn:00066893n']"
regular-regolare,0.7142857142857143,ES,IT,19,9,4,"['bn:00082215v', 'bn:00088990v', 'bn:00082316v', 'bn:00109632a']"
scratch-gratter,0.9069767441860465,EN,FR,38,5,2,"['bn:00084744v', 'bn:00089924v']"
shock-choque,0.9047619047619048,IT,ES,6,15,1,['bn:00071162n']
slack-allentamento,-1.0,EN,IT,26,0,0,[]
spike-épi,0.9753086419753086,EN,FR,71,10,1,['bn:00015677n']
squeeze-spremere,0.95,EN,IT,39,1,1,['bn:00086115v']
string-chaîne de caractères,0.9259259259259259,EN,FR,26,1,1,['bn:00074685n']
take in-prendre,0.9565217391304348,EN,FR,17,29,1,['bn:00085689v']
treno-tren,0.75,IT,ES,8,8,2,"['bn:00066028n', 'bn:00077914n']"
trim-assetto,0.9444444444444444,EN,IT,28,8,1,['bn:00078293n']
upset-sconvolto,-1.0,EN,IT,21,1,0,[]
walk-passeggiata,0.9130434782608695,EN,IT,40,6,2,"['bn:17620493n', 'bn:00080358n']"
wild-selvaggio,0.9354838709677419,EN,IT,52,10,2,"['bn:00113316a', 'bn:00113870a']"
yield-resa,0.8857142857142857,EN,IT,27,8,2,"['bn:00666599n', 'bn:00059788n']"
