pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
palla-balle,0.8461538461538461,IT,FR,19,20,3,"['bn:00008120n', 'bn:00013807n', 'bn:00845677n']"
bare-nudo,0.9622641509433962,EN,IT,45,8,1,['bn:00097745a']
beam-haz,0.9411764705882353,EN,ES,22,12,1,['bn:00009316n']
bed-cama,0.8823529411764706,EN,ES,27,7,2,"['bn:00009475n', 'bn:00009472n']"
better-meilleur,0.9420289855072463,EN,FR,65,4,2,"['bn:00098283a', 'bn:00010157n']"
bill-bill,0.9583333333333334,EN,ES,47,1,1,['bn:02586853n']
morso-morsure,0.875,IT,FR,10,6,1,['bn:00010744n']
board-conseil,0.8857142857142857,EN,FR,22,13,2,"['bn:00011638n', 'bn:00021015n']"
box-boîte,0.9393939393939394,EN,FR,53,13,2,"['bn:00012526n', 'bn:00012524n']"
brace-abrazadera,0.875,EN,ES,25,7,2,"['bn:00012595n', 'bn:00010764n']"
broken-roto,0.9384615384615385,EN,ES,60,5,2,"['bn:00098909a', 'bn:00098921a']"
c-c,0.7971014492753623,EN,IT,56,13,7,"['bn:00014377n', 'bn:00003612n', 'bn:00006890n', 'bn:00014379n', 'bn:00014374n', 'bn:02449894n', 'bn:00014373n']"
card-scheda,0.8518518518518519,EN,IT,22,5,2,"['bn:00015916n', 'bn:00001275n']"
condition-condition,0.6470588235294118,EN,FR,23,11,6,"['bn:00021649n', 'bn:00021645n', 'bn:00021646n', 'bn:00021647n', 'bn:00048504n', 'bn:00021644n']"
counter-compteur,0.9230769230769231,EN,FR,23,3,1,['bn:00023158n']
corso-cours,0.7560975609756098,IT,FR,15,26,5,"['bn:00019477n', 'bn:00023288n', 'bn:00023290n', 'bn:00019479n', 'bn:00023286n']"
credit-credito,0.7692307692307693,EN,IT,18,8,3,"['bn:00023668n', 'bn:00023667n', 'bn:00023671n']"
découpage-corte,0.9411764705882353,FR,ES,2,32,1,['bn:00024614n']
dig-dig,0.8048780487804879,EN,ES,37,4,4,"['bn:03647300n', 'bn:03733128n', 'bn:01523042n', 'bn:03675778n']"
sporco-sale,0.9130434782608695,IT,FR,9,14,1,['bn:00101429a']
espresso-exprés,0.8181818181818182,IT,ES,10,1,1,['bn:00032388n']
fresh-frais,0.8695652173913043,EN,FR,36,10,3,"['bn:00103326a', 'bn:00103331a', 'bn:00103329a']"
front-avant,0.9444444444444444,EN,FR,26,10,1,['bn:00035855n']
full-complet,0.8260869565217391,EN,FR,13,10,2,"['bn:00102277a', 'bn:00103392a']"
gain-gain,0.6774193548387096,EN,FR,23,8,5,"['bn:00037023n', 'bn:00037022n', 'bn:00003664n', 'bn:16782332n', 'bn:00001294n']"
grade-grade,0.8235294117647058,EN,FR,28,6,3,"['bn:18075962n', 'bn:03805878n', 'bn:00041232n']"
