pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
act-atto,0.8387096774193549,EN,IT,48,14,5,"['bn:00001076n', 'bn:00001078n', 'bn:00001127n', 'bn:00025804n', 'bn:00001077n']"
air-l'air,0.9649122807017544,EN,FR,55,2,1,['bn:02744522n']
answer-risposta,0.8333333333333334,EN,IT,29,7,3,"['bn:00004452n', 'bn:00004453n', 'bn:00004451n']"
attacco-attaque,0.8235294117647058,IT,FR,17,17,3,"['bn:00006996n', 'bn:00006994n', 'bn:00045792n']"
band-groupe,0.9272727272727272,EN,FR,30,25,2,"['bn:00008279n', 'bn:00008280n']"
bear-oso,0.9,EN,ES,54,6,3,"['bn:00709300n', 'bn:00009342n', 'bn:01018843n']"
book-livre,0.813953488372093,EN,FR,28,15,4,"['bn:00000748n', 'bn:00012059n', 'bn:00012066n', 'bn:00012060n']"
brush-cepillo,0.875,EN,ES,23,9,2,"['bn:00013489n', 'bn:00013491n']"
toro-taureau,0.8947368421052632,ES,FR,27,11,2,"['bn:00013783n', 'bn:00013774n']"
scuro-sombre,0.7692307692307693,IT,FR,8,18,3,"['bn:00100902a', 'bn:00025235n', 'bn:00100906a']"
easy-fácil,0.9047619047619048,EN,ES,56,7,3,"['bn:00115155r', 'bn:00101973a', 'bn:00101983a']"
fuga-escapar,0.9393939393939394,IT,ES,18,15,1,['bn:00031545n']
fast-veloce,0.8636363636363636,EN,IT,35,9,3,"['bn:00033737n', 'bn:00115335r', 'bn:00102802a']"
finish-acabado,0.9130434782608695,EN,ES,17,6,1,['bn:00020194n']
flare-bengala,0.8974358974358975,EN,ES,29,10,2,"['bn:00235206n', 'bn:00035047n']"
grain-céréales,0.9285714285714286,EN,FR,25,3,1,['bn:00017324n']
grant-subvention,0.9714285714285714,EN,FR,68,2,1,['bn:00041379n']
gray-grigio,0.7735849056603774,EN,IT,46,7,6,"['bn:00103765a', 'bn:00041510n', 'bn:00041514n', 'bn:00455573n', 'bn:00103766a', 'bn:00103764a']"
caccia-cazar,0.9333333333333333,IT,ES,20,10,1,['bn:00045245n']
lock-serratura,0.8823529411764706,EN,IT,29,5,2,"['bn:00051771n', 'bn:27269597n']"
loop-bucle,0.7966101694915254,EN,ES,50,9,6,"['bn:00844478n', 'bn:00051985n', 'bn:00051982n', 'bn:01869727n', 'bn:03614987n', 'bn:00656117n']"
maestro-maître,0.875,ES,FR,18,14,2,"['bn:00052664n', 'bn:00053719n']"
name-nom,0.813953488372093,EN,FR,28,15,4,"['bn:00037747n', 'bn:00056758n', 'bn:00031256n', 'bn:00056759n']"
pin-spillo,0.9047619047619048,ES,IT,16,5,1,['bn:00062448n']
push-spingere,0.9310344827586207,EN,IT,48,10,2,"['bn:00088456v', 'bn:00082414v']"
rail-rail,0.8,EN,FR,25,5,3,"['bn:00201233n', 'bn:00066010n', 'bn:00066008n']"
represent-rappresentare,0.5714285714285714,EN,IT,19,9,6,"['bn:00083187v', 'bn:00092837v', 'bn:00087825v', 'bn:00082287v', 'bn:00092838v', 'bn:00091979v']"
review-recensione,0.9259259259259259,EN,IT,25,2,1,['bn:00023864n']
ring-anillo,0.8133333333333334,EN,ES,61,14,7,"['bn:03258622n', 'bn:00019935n', 'bn:00004378n', 'bn:00003900n', 'bn:14434592n', 'bn:00008287n', 'bn:03324736n']"
root-radice,0.7391304347826086,EN,IT,34,12,6,"['bn:01998276n', 'bn:00008793n', 'bn:00068246n', 'bn:00009635n', 'bn:00068249n', 'bn:00068247n']"
écran-pantalla,0.8,FR,ES,7,13,2,"['bn:00064673n', 'bn:00021486n']"
seal-precinto,0.9411764705882353,EN,ES,31,3,1,['bn:00070017n']
second-deuxième,0.75,EN,FR,27,5,4,"['bn:00095974a', 'bn:00110242a', 'bn:00070104n', 'bn:00068672n']"
section-section,0.6326530612244898,EN,FR,31,18,9,"['bn:00026308n', 'bn:00070197n', 'bn:03039137n', 'bn:00070190n', 'bn:00181691n', 'bn:00027912n', 'bn:00166667n', 'bn:17381467n', 'bn:00070195n']"
set up-establecer,0.8823529411764706,EN,ES,19,15,2,"['bn:00087735v', 'bn:00087732v']"
shake-secouer,0.88,EN,FR,47,3,3,"['bn:00093072v', 'bn:00082470v', 'bn:00087727v']"
sharp-pointu,0.9512195121951219,EN,FR,36,5,1,['bn:00096404a']
sweep-barrer,0.8421052631578947,EN,ES,29,9,3,"['bn:00094660v', 'bn:00084157v', 'bn:00084138v']"
time-tiempo,0.9245283018867925,EN,ES,138,21,6,"['bn:00077267n', 'bn:00077268n', 'bn:00076545n', 'bn:00064472n', 'bn:00077270n', 'bn:00036116n']"
tono-tonalité,0.9130434782608695,ES,FR,21,2,1,['bn:00048988n']
transfer-trasferimento,0.7674418604651163,EN,IT,34,9,5,"['bn:00077973n', 'bn:03128918n', 'bn:00022381n', 'bn:01999480n', 'bn:00077975n']"
true-vero,0.9672131147540983,EN,IT,48,13,1,['bn:00112146a']
wind-viento,0.9069767441860465,EN,ES,36,7,2,"['bn:00002216n', 'bn:00012938n']"
