pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
account-cuenta,0.8181818181818182,EN,ES,17,16,3,"['bn:00000740n', 'bn:00000746n', 'bn:00000744n']"
approach-enfoque,0.7692307692307693,EN,ES,16,10,3,"['bn:00005142n', 'bn:00000663n', 'bn:00005141n']"
away-via,0.9545454545454546,EN,IT,31,13,1,['bn:00114455r']
bag-borsa,0.875,EN,IT,32,16,3,"['bn:00007922n', 'bn:00007925n', 'bn:00007927n']"
be-essere,0.7567567567567568,EN,IT,39,35,9,"['bn:00083183v', 'bn:00083184v', 'bn:00083191v', 'bn:00083181v', 'bn:00083187v', 'bn:00083189v', 'bn:00083182v', 'bn:00083186v', 'bn:00006870n']"
bond-lien,0.9245283018867925,EN,FR,36,17,2,"['bn:00002860n', 'bn:00006992n']"
fiocco-arc,0.9545454545454546,IT,FR,8,36,1,['bn:00012465n']
chip-chip,0.8974358974358975,EN,IT,36,3,2,"['bn:00018514n', 'bn:14036433n']"
cloud-nuvola,0.8421052631578947,EN,IT,31,7,3,"['bn:00020002n', 'bn:09060206n', 'bn:00020001n']"
color-color,0.7777777777777778,EN,ES,31,14,5,"['bn:00020731n', 'bn:00020728n', 'bn:00020730n', 'bn:00020726n', 'bn:00518807n']"
colour-colore,0.8125,EN,IT,24,8,3,"['bn:00020730n', 'bn:00020728n', 'bn:00020726n']"
corner-esquina,0.7837837837837838,EN,ES,28,9,4,"['bn:00022735n', 'bn:00022737n', 'bn:00022736n', 'bn:00022733n']"
court-tribunale,0.8235294117647058,EN,IT,27,7,3,"['bn:00023302n', 'bn:00023301n', 'bn:00023308n']"
design-conception,0.8823529411764706,IT,FR,3,14,1,['bn:00026535n']
die-dado,0.9428571428571428,EN,IT,25,10,1,['bn:00026920n']
draft-bozza,0.9393939393939394,EN,IT,26,7,1,['bn:00028548n']
even-incluso,0.8620689655172413,EN,ES,26,3,2,"['bn:00115244r', 'bn:00031998n']"
firm-ditta,0.9354838709677419,EN,IT,27,4,1,['bn:00021286n']
flow-flux,0.90625,EN,FR,50,14,3,"['bn:01976327n', 'bn:00035370n', 'bn:00035374n']"
foot-pie,0.6818181818181818,EN,ES,23,21,7,"['bn:16054298n', 'bn:00035686n', 'bn:00035680n', 'bn:00008782n', 'bn:00004230n', 'bn:00035679n', 'bn:00035681n']"
freeze-congelamento,0.8974358974358975,EN,IT,36,3,2,"['bn:00036409n', 'bn:00036410n']"
game-gioco,0.8918918918918919,EN,IT,50,24,4,"['bn:00037182n', 'bn:00037183n', 'bn:00037180n', 'bn:00037181n']"
green-verde,0.8604651162790697,EN,ES,64,22,6,"['bn:00103788a', 'bn:00041650n', 'bn:00041651n', 'bn:00016632n', 'bn:00041648n', 'bn:00100914a']"
guardia-gardien,0.8571428571428571,ES,FR,19,9,2,"['bn:00025885n', 'bn:00070230n']"
heave-ansare,0.8888888888888888,EN,IT,17,1,1,['bn:00088689v']
house-maison,0.8723404255319149,EN,FR,78,63,9,"['bn:00000356n', 'bn:00044995n', 'bn:00045001n', 'bn:00598308n', 'bn:00045003n', 'bn:00029305n', 'bn:03804837n', 'bn:00045000n', 'bn:00044994n']"
hurt-ferito,0.95,EN,IT,36,4,1,['bn:00104411a']
