pseudoword,ambiguity_reduction,ambiguity_drop,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
side-lateral,0.9583333333333334,0.903525331516144,EN,ES,32,16,1,['bn:00110607a']
trace-traccia,0.9583333333333334,0.7480987185581414,EN,IT,39,9,1,['bn:03179899n']
choke-étranglement,0.9574468085106383,0.5904137198538023,EN,FR,42,5,1,['bn:00018673n']
smooth-suave,0.9574468085106383,0.9467682240615688,EN,ES,27,20,1,['bn:00110803a']
tip-consejo,0.9574468085106383,0.8349710900283964,EN,ES,35,12,1,['bn:00021747n']
nice-bello,0.9565217391304348,0.9234012719203014,EN,IT,29,17,1,['bn:00107292a']
sugar-sucre,0.9565217391304348,0.9287706078465038,EN,FR,57,35,2,"['bn:00015853n', 'bn:00066804n']"
take in-prendre,0.9565217391304348,0.9234012719203014,EN,FR,17,29,1,['bn:00085689v']
dress-robe,0.9565217391304348,0.8400344372172617,EN,FR,34,12,1,['bn:00028682n']
float-float,0.9565217391304348,0.3901290991157484,EN,ES,44,2,1,['bn:00701733n']
or-o,0.9555555555555556,0.9362494127971258,EN,ES,27,18,1,['bn:00058390n']
splash-schizzo,0.9555555555555556,0.6006042783411664,EN,IT,40,5,1,['bn:00073161n']
people-persone,0.9545454545454546,0.4812009641210698,EN,IT,41,3,1,['bn:00061450n']
gap-brecha,0.9545454545454546,0.7363260696653304,EN,ES,36,8,1,['bn:00023461n']
capo-patron,0.9545454545454546,0.8000431140626059,IT,FR,34,10,1,['bn:00012293n']
reach-llegar a,0.9545454545454546,0.548825048458975,EN,ES,40,4,1,['bn:00082901v']
glass-vetro,0.9545454545454546,0.6058864481800574,EN,IT,39,5,1,['bn:00040605n']
away-via,0.9545454545454546,0.8710166485487177,EN,IT,31,13,1,['bn:00114455r']
fiocco-arc,0.9545454545454546,0.7363260696653304,IT,FR,8,36,1,['bn:00012465n']
dash-guión,0.9534883720930232,0.775778348367736,EN,ES,34,9,1,['bn:00025288n']
fall-otoño,0.9529411764705882,0.4881646576119741,EN,ES,79,6,2,"['bn:00007406n', 'bn:02714209n']"
identity-l'identité,0.9523809523809524,0.2903911218790407,EN,FR,41,1,1,['bn:01072149n']
riprendere-prendre,0.9523809523809524,0.8805663419023855,IT,FR,13,29,1,['bn:00088192v']
fit-ajuste,0.9523809523809524,0.7479556690462876,EN,ES,34,8,1,['bn:00014068n']
show-mostra,0.9523809523809524,0.8112718285713523,EN,IT,32,10,1,['bn:00027670n']
fine-fino,0.9523809523809524,0.9349445863078596,IT,ES,25,17,1,['bn:00102975a']
lap-vuelta,0.9523809523809524,0.9523809523809524,EN,ES,21,21,1,['bn:00019171n']
issue-tema,0.951219512195122,0.9441197002089904,EN,ES,23,18,1,['bn:00047690n']
mean-moyen,0.951219512195122,0.8429151491479037,EN,FR,30,11,1,['bn:00097854a']
sharp-pointu,0.951219512195122,0.6225340948660927,EN,FR,36,5,1,['bn:00096404a']
bright-lumineux,0.951219512195122,0.6225340948660927,EN,FR,36,5,1,['bn:00098857a']
running-corsa,0.951219512195122,0.6724136741241976,EN,IT,35,6,1,['bn:00068552n']
rise-aumento,0.95,0.590521779634098,EN,IT,107,13,3,"['bn:00012158n', 'bn:00044138n', 'bn:00001553n']"
squeeze-spremere,0.95,0.2966374049239239,EN,IT,39,1,1,['bn:00086115v']
pick-choisir,0.95,0.7219374972946064,EN,FR,33,7,1,['bn:00091590v']
rush-prisa,0.95,0.5368760913842224,EN,ES,73,7,2,"['bn:00088134v', 'bn:00043115n']"
track-traccia,0.95,0.7934064217032782,EN,IT,31,9,1,['bn:00050341n']
hurt-ferito,0.95,0.57,EN,IT,36,4,1,['bn:00104411a']
carrier-vettore,0.95,0.8227241335952168,EN,IT,30,10,1,['bn:00016254n']
plain-simple,0.95,0.95,EN,FR,20,20,1,['bn:00108648a']
pole-palo,0.9487179487179488,0.8757396449704142,EN,IT,27,12,1,['bn:00063293n']
rich-ricco,0.9487179487179488,0.7661756511201498,EN,IT,31,8,1,['bn:00109833a']
sting-piqûre,0.9487179487179488,0.5756606232075893,EN,FR,35,4,1,['bn:00010745n']
march-marzo,0.9487179487179488,0.29991231835615,EN,ES,38,1,1,['bn:00053318n']
ready-listo,0.9473684210526316,0.834342408732042,EN,ES,28,10,1,['bn:00109485a']
best-meilleur,0.9473684210526316,0.581479967352994,EN,FR,34,4,1,['bn:00098274a']
boot-arranque,0.9473684210526316,0.8988908997001636,EN,ES,25,13,1,['bn:03140436n']
prime-prime,0.9473684210526316,0.4230888219841946,EN,ES,36,2,1,['bn:02168916n']
like-como,0.9473684210526316,0.9139763158914695,EN,ES,24,14,1,['bn:00105977a']
bomb-bomba,0.945945945945946,0.9175347634367024,EN,ES,23,14,1,['bn:00011917n']
wire-filo,0.945945945945946,0.8647241904822085,EN,IT,26,11,1,['bn:00081386n']
wise-sage,0.945945945945946,0.9031749607639872,EN,FR,24,13,1,['bn:00113905a']
sein-mama,0.945945945945946,0.8647241904822085,FR,ES,11,26,1,['bn:00012047n']
