pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
action-action,0.7073170731707317,EN,FR,62,20,12,"['bn:00735580n', 'bn:24845510n', 'bn:00001133n', 'bn:00001127n', 'bn:03184586n', 'bn:14518693n', 'bn:00001128n', 'bn:14287950n', 'bn:03261103n', 'bn:14605199n', 'bn:03890755n', 'bn:00001136n']"
average-media,0.75,EN,ES,17,15,4,"['bn:00005677n', 'bn:00007449n', 'bn:00054001n', 'bn:00097854a']"
bang-bang,0.7741935483870968,EN,ES,53,9,7,"['bn:21659863n', 'bn:01788950n', 'bn:00667849n', 'bn:17975308n', 'bn:17646213n', 'bn:14053413n', 'bn:01561139n']"
bend-doblar,0.8095238095238095,EN,ES,24,18,4,"['bn:00083404v', 'bn:00083403v', 'bn:00083402v', 'bn:00083407v']"
bitter-amaro,0.8125,EN,IT,24,8,3,"['bn:00010788n', 'bn:00010768n', 'bn:00098461a']"
bob-bob,0.9032258064516129,EN,IT,57,5,3,"['bn:01063184n', 'bn:00477903n', 'bn:00011698n']"
body-corpo,0.7297297297297297,EN,IT,53,21,10,"['bn:17458282n', 'bn:03119994n', 'bn:00058442n', 'bn:00011747n', 'bn:00014512n', 'bn:14263042n', 'bn:00011745n', 'bn:00011746n', 'bn:00011748n', 'bn:00011744n']"
bottom-fond,0.9,EN,FR,23,17,2,"['bn:00012366n', 'bn:00012365n']"
cuvette-cuenco,0.8571428571428571,FR,ES,5,9,1,['bn:00008865n']
bridge-pont,0.7922077922077922,EN,FR,48,29,8,"['bn:00013080n', 'bn:00013082n', 'bn:00013083n', 'bn:00013079n', 'bn:02059918n', 'bn:00902695n', 'bn:00495606n', 'bn:00013077n']"
build-costruire,0.7857142857142857,EN,IT,19,9,3,"['bn:00084198v', 'bn:00084199v', 'bn:00086013v']"
burst-éclatement,0.9047619047619048,EN,FR,17,4,1,['bn:00014066n']
butt-culo,0.9166666666666666,EN,ES,16,8,1,['bn:00005913n']
campo-campamento,0.8688524590163934,IT,ES,42,19,4,"['bn:03720299n', 'bn:00015041n', 'bn:00010805n', 'bn:00015036n']"
chain-cadena,0.7037037037037037,EN,ES,37,17,8,"['bn:00017488n', 'bn:00017490n', 'bn:00017487n', 'bn:00017489n', 'bn:02387400n', 'bn:00017496n', 'bn:00017492n', 'bn:00017491n']"
collar-cuello,0.9285714285714286,EN,ES,20,8,1,['bn:00020603n']
come up-salire,0.8947368421052632,EN,IT,12,7,1,['bn:00082761v']
command-commande,0.8285714285714286,EN,FR,23,12,3,"['bn:00010260n', 'bn:00020945n', 'bn:00020941n']"
commission-commissione,0.8461538461538461,EN,IT,16,10,2,"['bn:00021015n', 'bn:00021016n']"
contract-contratto,0.9393939393939394,EN,IT,24,9,1,['bn:00022227n']
convert-convertire,0.5555555555555556,EN,IT,14,4,4,"['bn:00085763v', 'bn:00085446v', 'bn:00022366n', 'bn:00085761v']"
cool-cool,0.6862745098039216,EN,FR,39,12,8,"['bn:02419217n', 'bn:00100445a', 'bn:03552345n', 'bn:00100442a', 'bn:00567394n', 'bn:01461586n', 'bn:00004921n', 'bn:00100446a']"
correct-corretto,0.75,EN,IT,13,3,2,"['bn:00100490a', 'bn:00100491a']"
count-conteggio,0.9166666666666666,EN,IT,20,4,1,['bn:00023140n']
raccolto-cultivo,0.875,IT,ES,6,10,1,['bn:00023935n']
crush-cotta,0.9770114942528736,EN,IT,79,8,1,['bn:00014726n']
