pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
balance-saldo,0.9183673469387755,EN,ES,45,4,2,"['bn:00008044n', 'bn:00008048n']"
blast-ráfaga,0.9130434782608695,EN,ES,37,9,2,"['bn:00014066n', 'bn:00011136n']"
blue-blu,0.9701492537313433,EN,IT,115,19,2,"['bn:00098606a', 'bn:00011477n']"
bolt-boulon,0.9090909090909091,EN,FR,39,5,2,"['bn:03655296n', 'bn:00011899n']"
choke-étranglement,0.9574468085106383,EN,FR,42,5,1,['bn:00018673n']
cold-freddo,0.8769230769230769,EN,IT,55,10,4,"['bn:00020535n', 'bn:00020536n', 'bn:00099982a', 'bn:00099981a']"
cross-cruz,0.9130434782608695,EN,ES,52,17,3,"['bn:00023851n', 'bn:00023947n', 'bn:08352138n']"
crown-couronne,0.8666666666666667,EN,FR,50,25,5,"['bn:00024075n', 'bn:00024069n', 'bn:00024074n', 'bn:00015405n', 'bn:00024072n']"
do-do,0.8571428571428571,EN,ES,49,7,4,"['bn:03294102n', 'bn:00027967n', 'bn:00014378n', 'bn:02106349n']"
prima-premier,0.8888888888888888,IT,FR,20,16,2,"['bn:00034737n', 'bn:00103006a']"
fit-ajuste,0.9523809523809523,EN,ES,34,8,1,['bn:00014068n']
float-float,0.9565217391304348,EN,ES,44,2,1,['bn:00701733n']
foul-falta,0.9411764705882353,EN,ES,22,12,1,['bn:05862420n']
fret-traste,0.9130434782608695,EN,ES,20,3,1,['bn:00036503n']
hack-hack,0.7948717948717948,EN,IT,35,4,4,"['bn:00042433n', 'bn:15847306n', 'bn:03837172n', 'bn:00860331n']"
hand-mano,0.7727272727272727,EN,ES,33,11,5,"['bn:00042759n', 'bn:00042763n', 'bn:00978341n', 'bn:00025555n', 'bn:00042761n']"
issue-tema,0.9512195121951219,EN,ES,23,18,1,['bn:00047690n']
low-faible,0.9710144927536232,EN,FR,52,17,1,['bn:00106205a']
mean-moyen,0.9512195121951219,EN,FR,30,11,1,['bn:00097854a']
model-modelo,0.6774193548387096,EN,ES,38,24,10,"['bn:00055448n', 'bn:02579396n', 'bn:00055446n', 'bn:00022071n', 'bn:00055447n', 'bn:00033735n', 'bn:00036197n', 'bn:00032100n', 'bn:00032101n', 'bn:00055449n']"
offrir-oferta,0.9166666666666666,FR,ES,11,13,1,['bn:00083472v']
pick up-raccogliere,0.8918918918918919,EN,IT,22,15,2,"['bn:00091599v', 'bn:00088698v']"
plate-piastra,0.8181818181818182,EN,IT,24,9,3,"['bn:00044489n', 'bn:00062082n', 'bn:00062885n']"
ride-cavalcata,-1.0,EN,IT,67,3,0,[]
rush-prisa,0.95,EN,ES,73,7,2,"['bn:00088134v', 'bn:00043115n']"
sede-asiento,0.8947368421052632,IT,ES,7,12,1,['bn:00062706n']
servire-servir,0.42857142857142855,IT,ES,9,19,8,"['bn:00070647n', 'bn:00082867v', 'bn:00093511v', 'bn:00088630v', 'bn:00093512v', 'bn:00093509v', 'bn:00093510v', 'bn:00086962v']"
show-mostra,0.9523809523809523,EN,IT,32,10,1,['bn:00027670n']
smash-smash,0.7959183673469388,EN,IT,42,7,5,"['bn:02563828n', 'bn:02435669n', 'bn:00413980n', 'bn:00059882n', 'bn:00970332n']"
stay-séjour,0.98,EN,FR,95,5,1,['bn:00074076n']
stone-pietra,0.9178082191780822,EN,IT,62,11,3,"['bn:00068046n', 'bn:00074410n', 'bn:00068045n']"
stroke-ictus,0.9310344827586207,EN,IT,25,4,1,['bn:00004971n']
study-estudiar,0.6756756756756757,EN,ES,27,10,6,"['bn:00089360v', 'bn:00085648v', 'bn:00090266v', 'bn:00082596v', 'bn:00085705v', 'bn:00094501v']"
dolce-doux,0.9130434782608695,IT,FR,16,7,1,['bn:00174182n']
tight-stretto,0.9230769230769231,EN,IT,19,7,1,['bn:00114748r']
track-traccia,0.95,EN,IT,31,9,1,['bn:00050341n']
waste-déchets,0.8571428571428571,EN,FR,25,3,2,"['bn:00080543n', 'bn:00035670n']"
