pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
dead-morts,0.8974358974358975,EN,FR,37,2,2,"['bn:00025501n', 'bn:00025500n']"
deep-profundo,0.896551724137931,EN,ES,47,11,3,"['bn:00101045a', 'bn:00101050a', 'bn:00101043a']"
develop-sviluppare,0.6756756756756757,EN,IT,25,12,6,"['bn:00086734v', 'bn:00086745v', 'bn:00082282v', 'bn:00082278v', 'bn:00086735v', 'bn:00086733v']"
doppio-doble,0.9047619047619048,IT,ES,6,15,1,['bn:00101724a']
dress-robe,0.9565217391304348,EN,FR,34,12,1,['bn:00028682n']
campo-champ,0.8227848101265823,ES,FR,59,20,7,"['bn:00006752n', 'bn:03137422n', 'bn:00034267n', 'bn:00017609n', 'bn:00034274n', 'bn:00034265n', 'bn:00034275n']"
fire-incendio,0.9661016949152542,EN,IT,113,5,2,"['bn:00034623n', 'bn:00021764n']"
hot-caldo,0.9701492537313433,EN,IT,57,10,1,['bn:00104348a']
salto-saltar,0.9411764705882353,IT,ES,13,21,1,['bn:00048558n']
key-clé,0.8333333333333334,EN,FR,58,14,6,"['bn:03324194n', 'bn:00048986n', 'bn:22271641n', 'bn:00048994n', 'bn:00048985n', 'bn:03196769n']"
last-ultimo,0.8536585365853658,EN,IT,28,13,3,"['bn:00100203a', 'bn:00105740a', 'bn:00105739a']"
move-déplacer,0.9696969696969697,EN,FR,64,2,1,['bn:00087012v']
pick-choisir,0.95,EN,FR,33,7,1,['bn:00091590v']
step-étape,0.9245283018867925,EN,FR,46,7,2,"['bn:00074194n', 'bn:00054018n']"
straight-dritto,0.9069767441860465,EN,IT,35,8,2,"['bn:00115031r', 'bn:00115029r']"
wash-lavaggio,0.9411764705882353,EN,IT,32,2,1,['bn:00050240n']
